id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
31,"gastric problem, indigestion, arthritis",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,b3ub37Jk,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
32,"kapha disorder, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,j0w4PZ1B,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
33,"respiratory issue, asthma, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,xklKkWaH,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
34,"skin rashes, allergy",Vaidya Seema Verma,Virechana,vaidya.seema.verma,9tNs9ZjE,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
35,"constipation, gastric problem, back pain",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,9dUqVjFe,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
36,migraine,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,bgSuMkQf,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
37,cough,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,yHvww6Al,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
38,ulcer,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,ZRF1JmRA,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
39,"bronchitis, obesity",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,v1D98Qha,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
40,"skin boils, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,kP6Zn099,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
41,"gout, blood impure",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,ScWbnFEn,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
42,"psoriasis, liver problem",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,pik5Jmp1,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
43,cough,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,GoHb4Ike,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
44,blood impure,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,Nj73mi7z,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
45,"skin rashes, psoriasis",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,zuafePfM,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
46,eczema,Vaidya Seema Verma,Virechana,vaidya.seema.verma,HOi55i8Z,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
47,pimples,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,ABP8tEko,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
48,"arthritis, constipation, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,XeOQ5S5n,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
49,acne,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,b7lJeowm,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
50,"inflammation, gout",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,IMQYySeo,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
51,nose block,Vaidya Priya Nair,Nasya,vaidya.priya.nair,h4tzYrBE,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
52,acne,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,D5cn82kK,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
53,"nose block, sinus, stuffy nose",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,3Q8qYb3L,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
54,"skin boils, inflammation, blood impure",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,zvVsf7yz,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
55,inflammation,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,5qgeYRCM,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
56,pimples,Vaidya Seema Verma,Virechana,vaidya.seema.verma,5wvS7pbe,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
57,obesity,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,mYwOemLJ,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
58,"cough, asthma, respiratory issue",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,7AfQrWeF,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
59,"blood impure, acne",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,ahL65VCa,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
60,migraine,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,O6wBhWOL,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
61,migraine,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,01USsmo3,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
62,"constipation, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,qFmFU1ps,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
63,"pimples, skin rashes, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,in4PUdpF,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
64,"pimples, allergy, skin rashes",Vaidya Seema Verma,Virechana,vaidya.seema.verma,OGTZAW5h,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
65,"allergy, migraine, nose block",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,rYKgn9Zd,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
66,"cough, kapha disorder, asthma",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,0S4O7P94,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
67,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,Uv9cCXEp,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
68,"respiratory issue, kapha disorder, obesity",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,wgrIBv9D,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
69,blood impure,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,ZFoRq63S,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
70,"eczema, acidity",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,jA6Eunwj,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
71,"cold, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,zWbWtYsD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
72,pimples,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,jwqkOaFF,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
73,back pain,Vaidya Seema Verma,Basti,vaidya.seema.verma,WGBi2ds3,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
74,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,hgqhPAzA,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
75,"skin boils, gout",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,0Bnwn2c8,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
76,"skin rashes, pimples, liver problem",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,n7YWMt26,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
77,stuffy nose,Vaidya Priya Nair,Nasya,vaidya.priya.nair,br7v6DF5,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
78,"blood impure, inflammation, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,QDs0ylW5,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
79,"ulcer, blood impure",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,Wn1QtQN1,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
80,"pimples, allergy, eczema",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,stV8NlLW,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
81,"kapha disorder, asthma, bronchitis",Vaidya Lata More,Vamana,vaidya.lata.more,IwTBbgHl,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
82,bronchitis,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,LNqq0S9d,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
83,"gout, acne",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,N8AGZlSE,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
84,"headache, allergy",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,tHY3zHt0,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
85,allergy,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ptP9Pzqo,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
86,"cough, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,h4l7OtZA,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
87,"psoriasis, eczema, allergy",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,SgpEOGta,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
88,"blood impure, ulcer, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,LqkAr1cQ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
89,nose block,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,daSozsJE,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
90,"sinus, nose block, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,zyFwqATK,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
91,"obesity, respiratory issue, cough",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,12sfKyUF,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
92,"ulcer, gout, blood impure",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,FLVyXeYy,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
93,arthritis,Vaidya Seema Verma,Basti,vaidya.seema.verma,9AWFvnwT,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
94,"respiratory issue, kapha disorder, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,CvqlvnDl,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
95,nose block,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,hNxCAHYg,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
96,"allergy, migraine, headache",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,7Gt7Sg78,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
97,gout,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,US3VkkuM,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
98,"gastric problem, joint pain, indigestion",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,EJm8FnGV,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
99,"blood impure, acne, skin boils",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,Hl2pUKyf,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
100,"indigestion, joint pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,cfDVNwiT,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
101,respiratory issue,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,OO6Npbue,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
102,"headache, stuffy nose, allergy",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,xx3jI1hz,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
103,blood impure,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,4EvL0Zbv,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
104,"ulcer, gout, blood impure",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,n7l3jcfm,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
105,gout,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,NmkpR1lx,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
106,indigestion,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,xVTEQwvW,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
107,acne,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,a1ZTCxyY,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
108,"nose block, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,8Jaq7eqb,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
109,"indigestion, joint pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,tawibchU,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
110,"gastric problem, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,KWSahe0Q,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
111,"inflammation, blood impure, skin boils",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,Gop71M5q,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
112,"skin boils, acne, blood impure",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,6KdgOoWw,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
113,respiratory issue,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,wPs4wXB3,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
114,"stuffy nose, allergy",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,61kk3Fn0,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
115,allergy,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,kZAaV55E,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
116,"cold, stuffy nose, allergy",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,1xYXicWE,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
117,"cough, bronchitis",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,4BxL6ltx,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
118,respiratory issue,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,58WRMLam,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
119,"obesity, respiratory issue, kapha disorder",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,YE8PSfj9,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
120,"asthma, cough",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,rtugDoQN,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
121,"eczema, acidity, pimples",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,pig8JpZ9,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
122,"indigestion, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,vU0YrwrY,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
123,"liver problem, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,43m5OeFW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
124,"psoriasis, acidity",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,705ImdF1,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
125,skin boils,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,1dQBJ293,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
126,back pain,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,YOuwQN7E,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
127,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,XYy50ZdI,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
128,joint pain,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,zt9xjHKx,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
129,"pimples, acidity, allergy",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,rAncSHLn,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
